CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
9991018;UNIDADE BASICA DE SAUDE MARIA DA CONCEICAO TRINDADE;CENTRO DE SAUDE/UNIDADE BASICA;1696327;EQUIPE CONCEICAO;eSF;Barreirinha;Baixo Amazonas;Setembro;Gestantes e puérperas;17;8;10;11;19;10;15;5;6;5;21;1160;26;44.62
2708108;CENTRO DE SAUDE GIOVANNA GALLI;CENTRO DE SAUDE/UNIDADE BASICA;7382;SAUDE DA FAMILIA;eSF;Barreirinha;Baixo Amazonas;Setembro;Gestantes e puérperas;32;10;23;23;31;21;32;18;10;6;40;2246;46;48.83
9453679;UNIDADE BASICA DE SAUDE IRENE BABA DA COSTA;CENTRO DE SAUDE/UNIDADE BASICA;1676970;NOVA CONQUISTA;eSF;Barreirinha;Baixo Amazonas;Setembro;Gestantes e puérperas;19;9;18;20;23;23;13;6;6;5;25;1522;32;47.56
2708108;CENTRO DE SAUDE GIOVANNA GALLI;CENTRO DE SAUDE/UNIDADE BASICA;7366;SAUDE BAE;eSF;Barreirinha;Baixo Amazonas;Setembro;Gestantes e puérperas;28;13;25;27;27;24;19;18;12;9;28;2098;43;48.79
2016362;UBS HERMINIA MARIA SIMOES;CENTRO DE SAUDE/UNIDADE BASICA;7587;ESF CENTRO;eSF;Boa Vista do Ramos;Baixo Amazonas;Setembro;Gestantes e puérperas;34;14;25;23;26;18;29;11;12;5;35;2122;41;51.76
270431;UBS MARIA DO SOCORRO OLIVEIRA MATOS;CENTRO DE SAUDE/UNIDADE BASICA;2275554;ESF MONTE SIAO;eSF;Boa Vista do Ramos;Baixo Amazonas;Setembro;Gestantes e puérperas;37;17;23;23;16;23;31;8;14;9;39;2197;46;47.76
4143493;UBS RAIMUNDO ROLIM DA CRUZ;CENTRO DE SAUDE/UNIDADE BASICA;7609;ESF ESPERANCA;eSF;Boa Vista do Ramos;Baixo Amazonas;Setembro;Gestantes e puérperas;37;21;38;39;31;24;28;17;9;9;40;2674;50;53.48
2019485;CENTRO DE SAUDE CECILIA DE OLIVEIRA SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;2392895;EAP CECILIA DE OLIVEIRA 02;eAP;Maués;Baixo Amazonas;Setembro;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7249624;CENTRO DE SAUDE SANTA TERESA;CENTRO DE SAUDE/UNIDADE BASICA;2417480;ESF003 SANTA TERESA;eSF;Maués;Baixo Amazonas;Setembro;Gestantes e puérperas;16;9;13;14;17;16;10;2;9;5;21;1204;24;50.17
2019485;CENTRO DE SAUDE CECILIA DE OLIVEIRA SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;2414171;ESF002 CECILIA DE OLIVEIRA;eSF;Maués;Baixo Amazonas;Setembro;Gestantes e puérperas;10;3;5;5;7;5;8;0;1;1;6;469;10;46.9
