CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;Distrito;OSS;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
2751836;UBS VILA PARANAGUA;CENTRO DE SAUDE/UNIDADE BASICA;2261766;AZUL;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;5;0;0;0;0;3;2;0;0;0;5;230;5;46
4050142;UBS JOSE BONIFACIO III DRA LUCY MAYUMI UDAKIRI;CENTRO DE SAUDE/UNIDADE BASICA;2262614;AZUL;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2091720;UBS JARDIM FONTALIS;CENTRO DE SAUDE/UNIDADE BASICA;1693611;3 AMARELO TOPAZIO UBS FONTALIS;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;25;13;18;2;16;17;20;6;7;4;21;1366;38;35,95
2788853;UBS VILA ESPANHOLA;CENTRO DE SAUDE/UNIDADE BASICA;363251;001-AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;11;4;8;2;11;9;4;2;3;1;6;560;14;40
2752174;UBS BELENZINHO MARCUS WOLOSKER;CENTRO DE SAUDE/UNIDADE BASICA;355623;4053 - EQUIPE III AREA 100;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;37;22;28;3;41;27;22;14;13;10;36;2314;50;46,28
2787199;UBS JARDIM ARACATI;CENTRO DE SAUDE/UNIDADE BASICA;357804;J ARACATI 4;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;50;28;32;31;39;29;40;12;17;11;28;2903;55;52,78
2786966;UBS CUPECE DR WALDOMIRO PREGNOLATTO;CENTRO DE SAUDE/UNIDADE BASICA;356956;4323 - VERMELHO;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;27;15;18;12;26;17;24;12;6;0;18;1602;34;47,12
2788217;AMA UBS PAULO VI;CENTRO DE SAUDE/UNIDADE BASICA;361070;ESF 1 LILAS PAULO VI;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;23;17;17;6;22;14;3;1;7;4;7;1112;28;39,71
4050401;UBS REUNIDAS I;CENTRO DE SAUDE/UNIDADE BASICA;367605;4204 - AREA LILAS;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;19;11;12;5;13;8;11;1;3;3;14;919;20;45,95
9059369;UBS JARDIM ORION GUANHEMBU;CENTRO DE SAUDE/UNIDADE BASICA;2408791;ORION VIII;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;34;14;16;15;21;19;1;10;3;4;26;1501;36;41,69
