CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445282;PSF ZONA RURAL;eSF;ACORIZAL;SUL MATOGROSSENSE;Janeiro;Gestantes e puérperas;6;2;4;3;4;6;1;2;1;2;6;339;9;37,67
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445290;PSF URBANA;eSF;ACORIZAL;SUL MATOGROSSENSE;Janeiro;Gestantes e puérperas;22;5;9;0;10;13;11;4;0;5;8;805;26;30,96
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445282;PSF ZONA RURAL;eSF;ACORIZAL;SUL MATOGROSSENSE;Fevereiro;Gestantes e puérperas;5;2;6;3;5;8;0;2;1;1;6;356;10;35,6
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445290;PSF URBANA;eSF;ACORIZAL;SUL MATOGROSSENSE;Fevereiro;Gestantes e puérperas;21;6;10;1;7;12;9;3;0;2;6;714;24;29,75
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445282;PSF ZONA RURAL;eSF;ACORIZAL;SUL MATOGROSSENSE;Março;Gestantes e puérperas;4;2;4;0;3;6;1;0;1;1;2;220;7;31,43
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445290;PSF URBANA;eSF;ACORIZAL;SUL MATOGROSSENSE;Março;Gestantes e puérperas;22;10;13;1;8;15;9;3;1;3;7;850;27;31,48
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445282;PSF ZONA RURAL;eSF;ACORIZAL;SUL MATOGROSSENSE;Abril;Gestantes e puérperas;6;2;5;0;2;5;2;0;1;1;1;231;9;25,67
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445290;PSF URBANA;eSF;ACORIZAL;SUL MATOGROSSENSE;Abril;Gestantes e puérperas;24;8;12;1;11;16;7;1;1;3;5;825;29;28,45
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445282;PSF ZONA RURAL;eSF;ACORIZAL;SUL MATOGROSSENSE;Maio;Gestantes e puérperas;7;6;8;3;5;8;1;1;4;2;3;439;12;36,58
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445290;PSF URBANA;eSF;ACORIZAL;SUL MATOGROSSENSE;Maio;Gestantes e puérperas;23;10;13;0;10;18;8;1;2;4;4;860;29;29,66
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445282;PSF ZONA RURAL;eSF;ACORIZAL;SUL MATOGROSSENSE;Junho;Gestantes e puérperas;7;6;8;3;5;8;1;1;5;5;5;493;14;35,21
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445290;PSF URBANA;eSF;ACORIZAL;SUL MATOGROSSENSE;Junho;Gestantes e puérperas;17;6;9;0;11;14;5;1;1;3;1;629;21;29,95
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445282;PSF ZONA RURAL;eSF;ACORIZAL;SUL MATOGROSSENSE;Julho;Gestantes e puérperas;6;4;6;3;4;7;1;0;4;3;3;375;11;34,09
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445290;PSF URBANA;eSF;ACORIZAL;SUL MATOGROSSENSE;Julho;Gestantes e puérperas;19;10;12;0;12;15;4;1;1;2;4;739;23;32,13
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445282;PSF ZONA RURAL;eSF;ACORIZAL;SUL MATOGROSSENSE;Agosto;Gestantes e puérperas;7;5;5;3;5;5;1;0;3;2;5;376;9;41,78
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445290;PSF URBANA;eSF;ACORIZAL;SUL MATOGROSSENSE;Agosto;Gestantes e puérperas;21;10;12;0;11;15;3;1;0;6;5;777;25;31,08
2390981;CENTRO DE SAUDE DE ACORIZAL;CENTRO DE SAUDE/UNIDADE BASICA;445282;PSF ZONA RURAL;eSF;ACORIZAL;SUL MATOGROSSENSE;Setembro;Gestantes e puérperas;4;2;2;1;5;2;0;0;1;0;4;193;7;27,57
