CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
3023184;POSTO DE SAUDE JUCA CABRAL ITAPACI;CENTRO DE SAUDE/UNIDADE BASICA;461504;ESF 02;eSF;ITAPACI;SÃO PATRÍCIO I;JANEIRO;Cuidado com a Gestante e Puérpera;31;12;8;7;7;10;23;6;8;2;16;1201;36;33,36
2769433;POSTO DE SAUDE DR ALVARO PEIXOTO DE OLIVEIRA;CENTRO DE SAUDE/UNIDADE BASICA;461490;ESF 04;eSF;ITAPACI;SÃO PATRÍCIO I;JANEIRO;Cuidado com a Gestante e Puérpera;16;13;8;6;10;9;10;3;3;2;14;862;18;47,89
2550598;CENTRO DE SAUDE DR JAIR RODRIGUES DA CUNHA;CENTRO DE SAUDE/UNIDADE BASICA;461482;ESF 03;eSF;ITAPACI;SÃO PATRÍCIO I;JANEIRO;Cuidado com a Gestante e Puérpera;11;2;6;5;2;5;5;1;0;2;8;434;12;36,17
9509569;POSTO DE SAUDE DR RICARDO CESAR SEBA;CENTRO DE SAUDE/UNIDADE BASICA;461466;ESF 05;eSF;ITAPACI;SÃO PATRÍCIO I;JANEIRO;Cuidado com a Gestante e Puérpera;30;18;18;17;15;15;28;10;4;1;13;1551;32;48,47
5030501;POSTO DE SAUDE FRANCISCO AGRA ALENCAR FILHO;CENTRO DE SAUDE/UNIDADE BASICA;461520;ESF 01;eSF;ITAPACI;SÃO PATRÍCIO I;JANEIRO;Cuidado com a Gestante e Puérpera;22;19;10;3;6;14;3;2;1;0;20;922;23;40,09
3768597;POSTO DE SAUDE ELIAS SALVADOR DE MOURA;CENTRO DE SAUDE/UNIDADE BASICA;461512;ESF 06;eSF;ITAPACI;SÃO PATRÍCIO I;JANEIRO;Cuidado com a Gestante e Puérpera;28;8;8;10;15;15;16;8;5;4;27;1324;29;45,66
3023184;POSTO DE SAUDE JUCA CABRAL ITAPACI;CENTRO DE SAUDE/UNIDADE BASICA;461504;ESF 02;eSF;ITAPACI;SÃO PATRÍCIO I;FEVEREIRO;Cuidado com a Gestante e Puérpera;31;12;9;7;8;10;23;3;9;2;15;1192;34;35,06
2769433;POSTO DE SAUDE DR ALVARO PEIXOTO DE OLIVEIRA;CENTRO DE SAUDE/UNIDADE BASICA;461490;ESF 04;eSF;ITAPACI;SÃO PATRÍCIO I;FEVEREIRO;Cuidado com a Gestante e Puérpera;15;13;10;8;14;11;9;3;3;3;14;942;18;52,33
2550598;CENTRO DE SAUDE DR JAIR RODRIGUES DA CUNHA;CENTRO DE SAUDE/UNIDADE BASICA;461482;ESF 03;eSF;ITAPACI;SÃO PATRÍCIO I;FEVEREIRO;Cuidado com a Gestante e Puérpera;8;3;3;3;2;6;4;1;0;1;5;332;10;33,2
9509569;POSTO DE SAUDE DR RICARDO CESAR SEBA;CENTRO DE SAUDE/UNIDADE BASICA;461466;ESF 05;eSF;ITAPACI;SÃO PATRÍCIO I;FEVEREIRO;Cuidado com a Gestante e Puérpera;30;19;19;19;17;17;27;9;4;7;13;1659;33;50,27
