CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado com a Gestante e Puérpera;18;8;11;11;9;14;18;5;2;1;10;981;22;44,59
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado com a Gestante e Puérpera;13;5;7;6;7;9;11;3;2;0;0;580;15;38,67
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado com a Gestante e Puérpera;13;3;5;5;13;8;11;7;1;5;9;733;18;40,72
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado com a Gestante e Puérpera;8;5;9;9;9;10;8;5;1;2;5;647;16;40,44
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado com a Gestante e Puérpera;20;4;5;6;10;11;16;4;0;0;2;722;23;31,39
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado com a Gestante e Puérpera;4;0;0;0;0;0;1;0;0;0;0;49;4;12,25
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado com a Gestante e Puérpera;19;8;10;9;9;10;18;3;3;1;12;937;25;37,48
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado com a Gestante e Puérpera;18;8;10;10;8;12;16;7;5;2;0;882;21;42,00
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado com a Gestante e Puérpera;13;6;6;6;9;10;10;6;2;1;9;715;16;44,69
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado com a Gestante e Puérpera;5;4;6;6;5;6;5;2;2;1;2;401;10;40,10
