CNES,ESTABELECIMENTO,TIPO DO ESTABELECIMENTO,INE,NOME DA EQUIPE,SIGLA DA EQUIPE,MUNICÍPIO,REGIÃO DE SAÚDE,COMPETÊNCIA,INDICADOR,TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO,TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO,TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO,TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO,"TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL",TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO,"TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO",TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO,TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO,TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO,TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA,SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE,NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE,PONTUAÇÃO
0257184,UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES,CENTRO DE SAUDE/UNIDADE BASICA,0002096307,URBANA 2,eSF,Acrelândia,Baixo Acre,Janeiro,Cuidado com a Gestante e Puérpera,17,8,12,12,12,15,16,6,2,2,8,"1,007",22,45.77
0257184,UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES,CENTRO DE SAUDE/UNIDADE BASICA,0002096307,URBANA 2,eSF,Acrelândia,Baixo Acre,Fevereiro,Cuidado com a Gestante e Puérpera,18,7,8,7,10,7,17,3,3,1,11,846,22,38.45
0257184,UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES,CENTRO DE SAUDE/UNIDADE BASICA,0002096307,URBANA 2,eSF,Acrelândia,Baixo Acre,Março,Cuidado com a Gestante e Puérpera,24,9,11,10,15,11,21,4,8,5,13,"1,203",30,40.10
0257184,UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES,CENTRO DE SAUDE/UNIDADE BASICA,0002096307,URBANA 2,eSF,Acrelândia,Baixo Acre,Abril,Cuidado com a Gestante e Puérpera,19,7,7,7,14,8,16,2,3,2,9,865,25,34.60
0257184,UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES,CENTRO DE SAUDE/UNIDADE BASICA,0002096307,URBANA 2,eSF,Acrelândia,Baixo Acre,Maio,Cuidado com a Gestante e Puérpera,24,9,10,10,19,13,19,2,5,4,11,"1,158",32,36.19
0257184,UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES,CENTRO DE SAUDE/UNIDADE BASICA,0002096307,URBANA 2,eSF,Acrelândia,Baixo Acre,Junho,Cuidado com a Gestante e Puérpera,25,7,11,10,14,13,21,3,2,1,11,"1,087",32,33.97
0257184,UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES,CENTRO DE SAUDE/UNIDADE BASICA,0002096307,URBANA 2,eSF,Acrelândia,Baixo Acre,Julho,Cuidado com a Gestante e Puérpera,24,7,12,11,16,16,21,4,6,2,13,"1,212",33,36.73
0257184,UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES,CENTRO DE SAUDE/UNIDADE BASICA,0002096307,URBANA 2,eSF,Acrelândia,Baixo Acre,Agosto,Cuidado com a Gestante e Puérpera,27,10,16,15,22,21,23,4,6,7,14,"1,512",35,43.20
3006166,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,CENTRO DE SAUDE/UNIDADE BASICA,0000004294,URBANA,eSF,Acrelândia,Baixo Acre,Janeiro,Cuidado com a Gestante e Puérpera,19,3,5,6,9,10,15,4,1,0,2,685,23,29.78
3006166,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,CENTRO DE SAUDE/UNIDADE BASICA,0000004294,URBANA,eSF,Acrelândia,Baixo Acre,Fevereiro,Cuidado com a Gestante e Puérpera,21,4,8,8,11,10,17,5,2,0,3,822,26,31.62
3006166,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,CENTRO DE SAUDE/UNIDADE BASICA,0000004294,URBANA,eSF,Acrelândia,Baixo Acre,Março,Cuidado com a Gestante e Puérpera,27,7,9,8,15,13,23,6,2,2,1,"1,044",29,36.00
3006166,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,CENTRO DE SAUDE/UNIDADE BASICA,0000004294,URBANA,eSF,Acrelândia,Baixo Acre,Abril,Cuidado com a Gestante e Puérpera,26,6,10,11,16,14,22,6,4,6,7,"1,178",30,39.27
3006166,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,CENTRO DE SAUDE/UNIDADE BASICA,0000004294,URBANA,eSF,Acrelândia,Baixo Acre,Maio,Cuidado com a Gestante e Puérpera,27,6,8,8,15,10,23,5,4,7,12,"1,152",32,36.00
3006166,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,CENTRO DE SAUDE/UNIDADE BASICA,0000004294,URBANA,eSF,Acrelândia,Baixo Acre,Junho,Cuidado com a Gestante e Puérpera,23,6,9,9,14,13,21,3,3,6,12,"1,094",28,39.07
3006166,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,CENTRO DE SAUDE/UNIDADE BASICA,0000004294,URBANA,eSF,Acrelândia,Baixo Acre,Julho,Cuidado com a Gestante e Puérpera,22,5,8,7,13,12,20,4,2,5,11,"1,003",26,38.58
3006166,UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN,CENTRO DE SAUDE/UNIDADE BASICA,0000004294,URBANA,eSF,Acrelândia,Baixo Acre,Agosto,Cuidado com a Gestante e Puérpera,23,7,11,11,13,13,21,6,2,2,10,"1,094",27,40.52
3382745,UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA,CENTRO DE SAUDE/UNIDADE BASICA,0000004316,CICERO BATISTA,eSF,Acrelândia,Baixo Acre,Janeiro,Cuidado com a Gestante e Puérpera,11,3,5,5,11,8,9,7,1,4,8,659,16,41.19
3382745,UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA,CENTRO DE SAUDE/UNIDADE BASICA,0000004316,CICERO BATISTA,eSF,Acrelândia,Baixo Acre,Fevereiro,Cuidado com a Gestante e Puérpera,13,4,4,4,7,8,11,4,1,1,8,598,17,35.18
3382745,UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA,CENTRO DE SAUDE/UNIDADE BASICA,0000004316,CICERO BATISTA,eSF,Acrelândia,Baixo Acre,Março,Cuidado com a Gestante e Puérpera,16,5,6,8,8,9,12,9,1,1,10,781,21,37.19
3382745,UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA,CENTRO DE SAUDE/UNIDADE BASICA,0000004316,CICERO BATISTA,eSF,Acrelândia,Baixo Acre,Abril,Cuidado com a Gestante e Puérpera,16,7,11,12,12,10,11,10,3,4,10,970,22,44.09
