CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;PONTUAÇÃO
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;136;133;172;155;14.900;181;82,30
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;157;154;229;185;18.125;247;73,40
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;100;96;160;113;11.725;164;71,50
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;70;70;116;96;8.800;126;69,80
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;105;102;143;119;11.725;155;75,60
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;88;78;180;123;11.725;193;60,80
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;169;169;227;199;19.100;237;80,60
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;163;166;250;194;19.325;276;70,00
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;105;106;172;129;12.800;175;73,10
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;66;62;114;95;8.425;127;66,30
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;113;115;164;128;13.000;176;73,90
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;85;78;178;118;11.475;193;59,50
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;178;176;238;208;20.000;248;80,60
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;159;163;252;201;19.375;290;66,80
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;120;121;189;144;14.350;196;73,20
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;63;61;114;93;8.275;127;65,20
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;114;116;166;133;13.225;179;73,90
