CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A 1ª CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA ;TER PELO MENOS 09 CONSULTAS POR MÉDICA(O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA ;TER PELO MENOS 09 REGISTROS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER RECEBIDO PELO MENOS 02 VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 DIAS DE VIDA E A SEGUNDA ATÉ OS 06 MESES DE VIDA;TER SIDO VACINADA CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA CRIANÇAS DE ATÉ 2 ANOS VINCULADAS À EQUIPE;NÚMERO TOTAL DE CRIANÇAS DE ATÉ 2 ANOS VINCULADAS À EQUIPE;PONTUAÇÃO
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Janeiro;Desenvolvimento Infantil;21;6;6;3;33;1.380;51;27,06
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Janeiro;Desenvolvimento Infantil;9;1;1;10;19;800;37;21,62
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Janeiro;Desenvolvimento Infantil;20;0;2;13;20;1.100;48;22,92
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Janeiro;Desenvolvimento Infantil;21;0;1;6;22;1.000;46;21,74
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Janeiro;Desenvolvimento Infantil;16;1;1;12;18;960;40;24
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Janeiro;Desenvolvimento Infantil;4;0;0;1;11;320;17;18,82
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Fevereiro;Desenvolvimento Infantil;21;6;6;4;34;1.420;51;27,84
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Fevereiro;Desenvolvimento Infantil;12;2;2;10;20;920;39;23,59
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Fevereiro;Desenvolvimento Infantil;19;1;3;13;21;1.140;46;24,78
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Fevereiro;Desenvolvimento Infantil;17;0;1;5;20;860;41;20,98
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Fevereiro;Desenvolvimento Infantil;18;2;2;13;16;1.020;40;25,5
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Fevereiro;Desenvolvimento Infantil;3;0;0;0;6;180;9;20
