CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
2476223;USF CURRAIS NOVOS;CENTRO DE SAUDE/UNIDADE BASICA;110345;USF CURRAIS NOVOS;eSF;JARDIM DO SERIDÓ;4ª RS;Junho;Diabetes;101;66;111;8;52;0;6130;111;55,2
3749665;USF BANDEIRA BRANCA IV;CENTRO DE SAUDE/UNIDADE BASICA;110353;USF BANDEIRA BRANCA IV;eSF;JARDIM DO SERIDÓ;4ª RS;Junho;Diabetes;169;142;210;84;104;5;12605;213;59,2
3906817;USF JARDIM DE INFANCIA II;CENTRO DE SAUDE/UNIDADE BASICA;110388;USF JARDIM DE INFANCIA II;eSF;JARDIM DO SERIDÓ;4ª RS;Junho;Diabetes;109;63;141;13;63;0;7085;148;47,9
3758699;USF BAIXA DA BELEZA I;CENTRO DE SAUDE/UNIDADE BASICA;110361;USF BAIXA DA BELEZA I;eSF;JARDIM DO SERIDÓ;4ª RS;Junho;Diabetes;146;130;179;89;97;13;11435;184;62,1
7376588;USF ALTO BELA VISTA V;CENTRO DE SAUDE/UNIDADE BASICA;1497235;USF ALTO BELA VISTA V;eSF;JARDIM DO SERIDÓ;4ª RS;Junho;Diabetes;104;102;124;80;101;11;8970;126;71,2
2476223;USF CURRAIS NOVOS;CENTRO DE SAUDE/UNIDADE BASICA;110345;USF CURRAIS NOVOS;eSF;JARDIM DO SERIDÓ;4ª RS;Julho;Diabetes;103;66;112;20;53;0;6385;113;56,5
3749665;USF BANDEIRA BRANCA IV;CENTRO DE SAUDE/UNIDADE BASICA;110353;USF BANDEIRA BRANCA IV;eSF;JARDIM DO SERIDÓ;4ª RS;Julho;Diabetes;168;142;221;96;108;6;13060;222;58,8
3906817;USF JARDIM DE INFANCIA II;CENTRO DE SAUDE/UNIDADE BASICA;110388;USF JARDIM DE INFANCIA II;eSF;JARDIM DO SERIDÓ;4ª RS;Julho;Diabetes;111;67;143;18;68;0;7375;151;48,8
3758699;USF BAIXA DA BELEZA I;CENTRO DE SAUDE/UNIDADE BASICA;110361;USF BAIXA DA BELEZA I;eSF;JARDIM DO SERIDÓ;4ª RS;Julho;Diabetes;150;135;181;94;95;19;11765;188;62,6
7376588;USF ALTO BELA VISTA V;CENTRO DE SAUDE/UNIDADE BASICA;1497235;USF ALTO BELA VISTA V;eSF;JARDIM DO SERIDÓ;4ª RS;Julho;Diabetes;111;111;127;91;103;18;9605;129;74,5
2476223;USF CURRAIS NOVOS;CENTRO DE SAUDE/UNIDADE BASICA;110345;USF CURRAIS NOVOS;eSF;JARDIM DO SERIDÓ;4ª RS;Agosto;Diabetes;101;74;112;47;57;3;6975;113;61,7
3749665;USF BANDEIRA BRANCA IV;CENTRO DE SAUDE/UNIDADE BASICA;110353;USF BANDEIRA BRANCA IV;eSF;JARDIM DO SERIDÓ;4ª RS;Agosto;Diabetes;181;158;225;121;117;24;14420;226;63,8
3906817;USF JARDIM DE INFANCIA II;CENTRO DE SAUDE/UNIDADE BASICA;110388;USF JARDIM DE INFANCIA II;eSF;JARDIM DO SERIDÓ;4ª RS;Agosto;Diabetes;115;75;142;20;67;0;7570;151;50,1
3758699;USF BAIXA DA BELEZA I;CENTRO DE SAUDE/UNIDADE BASICA;110361;USF BAIXA DA BELEZA I;eSF;JARDIM DO SERIDÓ;4ª RS;Agosto;Diabetes;159;145;184;125;112;34;13100;191;68,6
7376588;USF ALTO BELA VISTA V;CENTRO DE SAUDE/UNIDADE BASICA;1497235;USF ALTO BELA VISTA V;eSF;JARDIM DO SERIDÓ;4ª RS;Agosto;Diabetes;117;117;131;100;108;22;10165;133;76,4
3694690;UNIDADE SAUDE DA FAMILIA SANTA CECILIA;CENTRO DE SAUDE/UNIDADE BASICA;110302;ESF II;eSF;JARDIM DE PIRANHAS;4ª RS;Janeiro;Diabetes;132;127;136;106;131;0;10820;137;79
2409933;UNIDADE DA FAMILIA DO CAMPO DA PAZ;CENTRO DE SAUDE/UNIDADE BASICA;110337;ESF V;eSF;JARDIM DE PIRANHAS;4ª RS;Janeiro;Diabetes;134;131;175;62;137;0;11130;183;60,8
3694712;ESF III ADILIA AUREA DA COSTA;CENTRO DE SAUDE/UNIDADE BASICA;110310;ESF III;eSF;JARDIM DE PIRANHAS;4ª RS;Janeiro;Diabetes;127;97;198;87;131;0;11225;202;55,6
2409909;CENTRO DE SAUDE DE JARDIM DE PIRANHAS;CENTRO DE SAUDE/UNIDADE BASICA;110299;ESF I;eSF;JARDIM DE PIRANHAS;4ª RS;Janeiro;Diabetes;122;113;144;108;130;0;10585;147;72
2409917;UNIDADE SAUDE DA FAMILIA NOVO JARDIM;CENTRO DE SAUDE/UNIDADE BASICA;2340801;ESF VII;eSF;JARDIM DE PIRANHAS;4ª RS;Janeiro;Diabetes;89;81;103;53;80;0;7050;103;68,4
5345472;UNIDADE SAUDE DA FAMILIA SANTO AMARO PSF IV;CENTRO DE SAUDE/UNIDADE BASICA;110329;ESF IV;eSF;JARDIM DE PIRANHAS;4ª RS;Janeiro;Diabetes;180;152;212;170;195;0;15595;223;69,9
7428286;ESF PARQUE DAS LUZES;CENTRO DE SAUDE/UNIDADE BASICA;1509845;ESF-VI;eSF;JARDIM DE PIRANHAS;4ª RS;Janeiro;Diabetes;115;92;164;79;110;0;9795;170;57,6
3694690;UNIDADE SAUDE DA FAMILIA SANTA CECILIA;CENTRO DE SAUDE/UNIDADE BASICA;110302;ESF II;eSF;JARDIM DE PIRANHAS;4ª RS;Fevereiro;Diabetes;125;120;130;99;125;0;10260;131;78,3
2409933;UNIDADE DA FAMILIA DO CAMPO DA PAZ;CENTRO DE SAUDE/UNIDADE BASICA;110337;ESF V;eSF;JARDIM DE PIRANHAS;4ª RS;Fevereiro;Diabetes;101;114;171;65;144;0;10285;181;56,8
3694712;ESF III ADILIA AUREA DA COSTA;CENTRO DE SAUDE/UNIDADE BASICA;110310;ESF III;eSF;JARDIM DE PIRANHAS;4ª RS;Fevereiro;Diabetes;139;105;198;79;133;0;11495;200;57,5
2409909;CENTRO DE SAUDE DE JARDIM DE PIRANHAS;CENTRO DE SAUDE/UNIDADE BASICA;110299;ESF I;eSF;JARDIM DE PIRANHAS;4ª RS;Fevereiro;Diabetes;131;120;148;117;130;0;11085;151;73,4
2409917;UNIDADE SAUDE DA FAMILIA NOVO JARDIM;CENTRO DE SAUDE/UNIDADE BASICA;2340801;ESF VII;eSF;JARDIM DE PIRANHAS;4ª RS;Fevereiro;Diabetes;92;80;100;51;76;0;6945;100;69,5
5345472;UNIDADE SAUDE DA FAMILIA SANTO AMARO PSF IV;CENTRO DE SAUDE/UNIDADE BASICA;110329;ESF IV;eSF;JARDIM DE PIRANHAS;4ª RS;Fevereiro;Diabetes;183;164;215;170;193;0;15865;227;69,9
