CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
2374994;UNIDADE BASICA DE SAUDE SAO PEDRO;CENTRO DE SAUDE/UNIDADE BASICA;114316;PSF SAO PEDRO;eSF;PASSA E FICA;1ª RS;Julho;Gestantes e puérperas;25;11;13;1;8;15;16;2;1;2;10;961;28;34,32
4423739;UNIDADE BASICA DE SAUDE BELA VISTA SUL;CENTRO DE SAUDE/UNIDADE BASICA;2415526;PSF BELA VISTA SUL;eSF;PASSA E FICA;1ª RS;Julho;Gestantes e puérperas;10;6;8;3;8;2;0;1;2;3;8;469;13;36,08
2375001;UNIDADE BASICA DE SAUDE BELA VISTA;CENTRO DE SAUDE/UNIDADE BASICA;114324;PSF BELA VISTA;eSF;PASSA E FICA;1ª RS;Julho;Gestantes e puérperas;21;9;9;0;15;14;7;4;3;7;9;903;26;34,73
6773656;UNIDADE BASICA DE SAUDE SANTA LUZIA;CENTRO DE SAUDE/UNIDADE BASICA;114367;PSF SANTA LUZIA;eSF;PASSA E FICA;1ª RS;Julho;Gestantes e puérperas;30;14;17;12;19;14;9;9;3;5;18;1380;33;41,82
3005844;UNIDADE BASICA DE SAUDE BENEDITA DO CARMO LIMA;CENTRO DE SAUDE/UNIDADE BASICA;1535560;PSF CENTRO;eSF;PASSA E FICA;1ª RS;Julho;Gestantes e puérperas;9;6;6;0;6;7;2;2;3;4;8;486;12;40,5
3005828;UNIDADE BASICA DE SAUDE LAGOA DO CIPOAL;CENTRO DE SAUDE/UNIDADE BASICA;114359;PSF DE LAGOA DO CIPOAL - BARRA;eSF;PASSA E FICA;1ª RS;Julho;Gestantes e puérperas;27;13;18;3;18;18;16;5;6;8;22;1413;28;50,46
2375028;UNIDADE BASICA DE SAUDE MANOEL FIRMINO ALVES;CENTRO DE SAUDE/UNIDADE BASICA;114340;PSF DOS FERNANDOS;eSF;PASSA E FICA;1ª RS;Julho;Gestantes e puérperas;23;13;14;7;21;14;5;9;8;9;21;1319;26;50,73
2374994;UNIDADE BASICA DE SAUDE SAO PEDRO;CENTRO DE SAUDE/UNIDADE BASICA;114316;PSF SAO PEDRO;eSF;PASSA E FICA;1ª RS;Agosto;Gestantes e puérperas;23;12;11;0;9;11;15;5;1;1;9;896;23;38,96
4423739;UNIDADE BASICA DE SAUDE BELA VISTA SUL;CENTRO DE SAUDE/UNIDADE BASICA;2415526;PSF BELA VISTA SUL;eSF;PASSA E FICA;1ª RS;Agosto;Gestantes e puérperas;10;5;7;3;7;3;2;0;3;2;8;460;13;35,38
2375001;UNIDADE BASICA DE SAUDE BELA VISTA;CENTRO DE SAUDE/UNIDADE BASICA;114324;PSF BELA VISTA;eSF;PASSA E FICA;1ª RS;Agosto;Gestantes e puérperas;19;9;8;0;16;12;7;6;3;6;7;856;23;37,22
