CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;PONTUAÇÃO
2475588;CENTRO DE SAUDE MANOEL P DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;117242;PSF/URB/RURAL;eSF;TIMBAÚBA DOS BATISTAS;4ª RS;Agosto;Hipertensão;0;0;0;0;0;0;0
2475588;CENTRO DE SAUDE MANOEL P DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;117242;PSF/URB/RURAL;eSF;TIMBAÚBA DOS BATISTAS;4ª RS;Julho;Hipertensão;323;303;397;104;28175;456;61,8
2475588;CENTRO DE SAUDE MANOEL P DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;117242;PSF/URB/RURAL;eSF;TIMBAÚBA DOS BATISTAS;4ª RS;Junho;Hipertensão;336;313;410;65;28100;466;60,3
2475588;CENTRO DE SAUDE MANOEL P DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;117242;PSF/URB/RURAL;eSF;TIMBAÚBA DOS BATISTAS;4ª RS;Maio;Hipertensão;356;331;406;64;28925;467;61,9
2475588;CENTRO DE SAUDE MANOEL P DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;117242;PSF/URB/RURAL;eSF;TIMBAÚBA DOS BATISTAS;4ª RS;Abril;Hipertensão;377;368;372;57;29350;441;66,6
2475588;CENTRO DE SAUDE MANOEL P DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;117242;PSF/URB/RURAL;eSF;TIMBAÚBA DOS BATISTAS;4ª RS;Março;Hipertensão;417;404;395;55;31775;463;68,6
2475588;CENTRO DE SAUDE MANOEL P DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;117242;PSF/URB/RURAL;eSF;TIMBAÚBA DOS BATISTAS;4ª RS;Fevereiro;Hipertensão;424;409;410;48;32275;469;68,8
2475588;CENTRO DE SAUDE MANOEL P DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;117242;PSF/URB/RURAL;eSF;TIMBAÚBA DOS BATISTAS;4ª RS;Janeiro;Hipertensão;439;410;423;47;32975;483;68,3
3834301;POSTO DE SAUDE RIACHAO;POSTO DE SAUDE;117161;PSF II ZONA RURAL;eSF;TENENTE LAURENTINO CRUZ;4ª RS;Janeiro;Hipertensão;101;99;114;19;8325;121;68,8
7365691;UNIDADE BASICA DE SAUDE JOSE VALERIO DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;1607219;PSF IV ZONA URBANO;eSF;TENENTE LAURENTINO CRUZ;4ª RS;Janeiro;Hipertensão;149;148;125;57;11975;174;68,8
