CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
3939073;UNIDADE DE SAUDE DA FAMILIA MARIA CANABRAVA;CENTRO DE SAUDE/UNIDADE BASICA;39861;RURAL;eSF;SÃO VALÉRIO;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;4;1;1;1;3;2;2;1;0;1;3;175;5;35
3939073;UNIDADE DE SAUDE DA FAMILIA MARIA CANABRAVA;CENTRO DE SAUDE/UNIDADE BASICA;39888;URBANA;eSF;SÃO VALÉRIO;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;24;16;19;18;15;13;20;6;10;5;25;1563;30;52,1
2468875;UNIDADE DE SAUDE DO RETIRO SAO SALVADOR;CENTRO DE SAUDE/UNIDADE BASICA;1686046;EQUIPE ZONA RURAL RETIRO;eSF;SÃO SALVADOR DO TOCANTINS;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;11;7;10;10;10;9;8;6;3;2;11;794;16;49,63
2468867;CENTRO DE SAUDE SAO SALVADOR;CENTRO DE SAUDE/UNIDADE BASICA;39837;URBANA;eSF;SÃO SALVADOR DO TOCANTINS;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;20;12;17;16;12;11;17;6;2;2;21;1244;26;47,85
2469162;UNIDADE BASICA DE SAUDE MARISETE SILVA SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;39675;EQUIPE 01 SAUDE DA FAMILIA;eSF;SANDOLÂNDIA;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;4;2;4;3;4;4;1;0;2;0;4;256;6;42,67
2469162;UNIDADE BASICA DE SAUDE DE SANDOLANDIA;CENTRO DE SAUDE/UNIDADE BASICA;39667;EQUIPE 02 SAUDE DA FAMILIA;eSF;SANDOLÂNDIA;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;12;3;7;7;9;3;2;0;0;1;13;525;17;30,88
2658879;UNIDADE BASICA SAUDE DR MARIO JOSE ROMAO;CENTRO DE SAUDE/UNIDADE BASICA;2287854;EQUIPE SAUDE DA FAMILIA 2;eSF;PALMEIRÓPOLIS;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;12;6;8;7;9;5;4;0;2;2;6;561;13;43,15
2658879;UNIDADE BASICA SAUDE DR MARIO JOSE ROMAO;CENTRO DE SAUDE/UNIDADE BASICA;38792;EQUIPE SAUDE DA FAMILIA 01;eSF;PALMEIRÓPOLIS;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;13;6;7;5;7;5;3;2;2;2;9;562;13;43,23
2658941;UNIDADE BASICA DE SAUDE ELENA MARIA BORGES;CENTRO DE SAUDE/UNIDADE BASICA;38806;UNIDADE SAUDE DA FAMILIA PSF I;eSF;PALMEIRÓPOLIS;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;19;7;9;6;12;10;9;5;1;3;11;847;19;44,58
2658968;UNIDADE BASICA DE SAUDE SETOR BOM TEMPO;CENTRO DE SAUDE/UNIDADE BASICA;38814;PSF 3;eSF;PALMEIRÓPOLIS;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;14;7;9;8;12;6;10;2;4;3;11;788;15;52,53
