CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A 1ª CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA ;TER PELO MENOS 09 CONSULTAS POR MÉDICA(O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA ;TER PELO MENOS 09 REGISTROS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER RECEBIDO PELO MENOS 02 VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 DIAS DE VIDA E A SEGUNDA ATÉ OS 06 MESES DE VIDA;TER SIDO VACINADA CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA CRIANÇAS DE ATÉ 2 ANOS VINCULADAS À EQUIPE;NÚMERO TOTAL DE CRIANÇAS DE ATÉ 2 ANOS VINCULADAS À EQUIPE;PONTUAÇÃO
2486806;UNIDADE BASICA DE SAUDE DOMINGOS FERREIRA DE SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;38210;EQUIPE 01;eSF;JAÚ DO TOCANTINS;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;11;8;6;12;18;1100;46;23,91
2486814;UNIDADE DE SAUDE LOURENCO NEVES CARDOSO;CENTRO DE SAUDE/UNIDADE BASICA;38229;EQUIPE 02;eSF;JAÚ DO TOCANTINS;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;0;2;4;0;8;280;11;25,45
2546701;UNIDADE SAUDE DA FAMILIA SAO JOSE RURAL;CENTRO DE SAUDE/UNIDADE BASICA;37672;SETOR SAO JOSE I;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;16;2;0;10;16;880;42;20,95
2468247;UNIDADE SAUDE DA FAMILIA SETOR ALIANCA;CENTRO DE SAUDE/UNIDADE BASICA;2423979;ESF ALIANCA II;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;6;2;0;1;8;340;28;12,14
688010;UNIDADE DA SAUDE DA FAMILIA SETOR AEROPORTO;CENTRO DE SAUDE/UNIDADE BASICA;2231476;ESF AEROPORTO;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;1;1;0;3;5;200;16;12,5
2468247;UNIDADE SAUDE DA FAMILIA SETOR ALIANCA;CENTRO DE SAUDE/UNIDADE BASICA;37613;USF-SETOR ALIANCA;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;5;2;1;5;15;560;29;19,31
7065310;UNIDADE DE SAUDE FAMILIA SAO JOSE II IRACY GOMES DE SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;37699;SETOR SAO JOSE II;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;5;2;0;9;20;720;51;14,12
2546728;UNIDADE SAUDE DA FAMILIA SETOR PLANALTO;CENTRO DE SAUDE/UNIDADE BASICA;37656;SETOR PLANALTO;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;5;0;0;0;10;300;27;11,11
2546698;UNIDADE SAUDE DA FAMILIA CENTRO;CENTRO DE SAUDE/UNIDADE BASICA;37664;CENTRO I;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;10;3;0;8;21;840;51;16,47
2546698;UNIDADE SAUDE DA FAMILIA CENTRO;CENTRO DE SAUDE/UNIDADE BASICA;37621;CENTRO;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;9;5;1;16;11;840;32;26,25
