UF;MUNICÍPIO;IBGE;Comp. CNES;Parcela;Indicador de Equidade e Dimensionamento;Classificação Componente Vínculo;Classificação Componente Qualidade;Teto eSF;Qtde. eSF Credenciadas;Qtde. eSF Homologadas;Qtde. eSF Pagas;Qtde. eSF Completas;Qtde. eSF Incompletas - 75%;Qtde. eSF Incompletas - 50%;Qtde. eSF Incompletas - 25%;Componente Equidade eSF;Vínculo e Acompanhamento territorial eSF;Qualidade eSF;Parcela Adicional - Qualidade;Valor Total eSF;Implantação eSF
AC;ACRELANDIA;120001;JAN/2025;3/12;ESTRATO 2;BOM;BOM;7;6;6;6;6;0;0;0;R$ 96.000,00 ;R$ 36.000,00 ;R$ 36.000,00 ;R$ 0,00 ;R$ 168.000,00 ;R$ 0,00 
AC;ASSIS BRASIL;120005;JAN/2025;3/12;ESTRATO 2;BOM;BOM;4;3;3;3;3;0;0;0;R$ 48.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 84.000,00 ;R$ 0,00 
AC;BRASILEIA;120010;JAN/2025;3/12;ESTRATO 2;BOM;BOM;14;9;9;9;9;0;0;0;R$ 144.000,00 ;R$ 54.000,00 ;R$ 54.000,00 ;R$ 0,00 ;R$ 252.000,00 ;R$ 0,00 
AC;BUJARI;120013;JAN/2025;3/12;ESTRATO 2;BOM;BOM;7;5;4;4;4;0;0;0;R$ 64.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 112.000,00 ;R$ 0,00 
AC;CAPIXABA;120017;JAN/2025;3/12;ESTRATO 2;BOM;BOM;5;5;5;5;5;0;0;0;R$ 80.000,00 ;R$ 30.000,00 ;R$ 30.000,00 ;R$ 0,00 ;R$ 140.000,00 ;R$ 0,00 
AC;CRUZEIRO DO SUL;120020;JAN/2025;3/12;ESTRATO 3;BOM;BOM;49;31;32;32;32;0;0;0;R$ 448.000,00 ;R$ 192.000,00 ;R$ 192.000,00 ;R$ 0,00 ;R$ 832.000,00 ;R$ 0,00 
AC;EPITACIOLANDIA;120025;JAN/2025;3/12;ESTRATO 2;BOM;BOM;10;8;8;8;8;0;0;0;R$ 128.000,00 ;R$ 48.000,00 ;R$ 48.000,00 ;R$ 0,00 ;R$ 224.000,00 ;R$ 0,00 
AC;FEIJO;120030;JAN/2025;3/12;ESTRATO 1;BOM;BOM;19;8;8;8;8;0;0;0;R$ 144.000,00 ;R$ 48.000,00 ;R$ 48.000,00 ;R$ 0,00 ;R$ 240.000,00 ;R$ 0,00 
AC;JORDAO;120032;JAN/2025;3/12;ESTRATO 1;BOM;BOM;5;3;2;2;2;0;0;0;R$ 36.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 60.000,00 ;R$ 0,00 
AC;MANCIO LIMA;120033;JAN/2025;3/12;ESTRATO 1;BOM;BOM;10;7;7;7;7;0;0;0;R$ 126.000,00 ;R$ 42.000,00 ;R$ 42.000,00 ;R$ 0,00 ;R$ 210.000,00 ;R$ 0,00 
AC;MANOEL URBANO;120034;JAN/2025;3/12;ESTRATO 1;BOM;BOM;6;4;3;3;3;0;0;0;R$ 54.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 90.000,00 ;R$ 0,00 
AC;MARECHAL THAUMATURGO;120035;JAN/2025;3/12;ESTRATO 1;BOM;BOM;9;6;3;2;2;0;0;0;R$ 36.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 60.000,00 ;R$ 0,00 
AC;PLACIDO DE CASTRO;120038;JAN/2025;3/12;ESTRATO 2;BOM;BOM;9;8;8;8;8;0;0;0;R$ 128.000,00 ;R$ 48.000,00 ;R$ 48.000,00 ;R$ 0,00 ;R$ 224.000,00 ;R$ 0,00 
AC;PORTO ACRE;120080;JAN/2025;3/12;ESTRATO 2;BOM;BOM;9;5;5;5;5;0;0;0;R$ 80.000,00 ;R$ 30.000,00 ;R$ 30.000,00 ;R$ 0,00 ;R$ 140.000,00 ;R$ 0,00 
AC;PORTO WALTER;120039;JAN/2025;3/12;ESTRATO 1;BOM;BOM;6;4;3;3;3;0;0;0;R$ 54.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 90.000,00 ;R$ 0,00 
AC;RIO BRANCO;120040;JAN/2025;3/12;ESTRATO 4;BOM;BOM;194;82;82;82;75;2;4;1;R$ 945.000,00 ;R$ 472.500,00 ;R$ 472.500,00 ;R$ 0,00 ;R$ 1.890.000,00 ;R$ 0,00 
AC;RODRIGUES ALVES;120042;JAN/2025;3/12;ESTRATO 1;BOM;BOM;8;9;9;9;7;0;2;0;R$ 144.000,00 ;R$ 48.000,00 ;R$ 48.000,00 ;R$ 0,00 ;R$ 240.000,00 ;R$ 0,00 
AC;SANTA ROSA DO PURUS;120043;JAN/2025;3/12;ESTRATO 1;BOM;BOM;4;3;3;3;2;0;1;0;R$ 45.000,00 ;R$ 15.000,00 ;R$ 15.000,00 ;R$ 0,00 ;R$ 75.000,00 ;R$ 0,00 
